"","catalogNumber","scientificName","year"
"1274","PBRU00073169","Woodsia oregana",1936
"1354","PBRU00047050","Anacampseros retusa",2014
"6171","PBRU00037434","Datisca glomerata",1879
"6214","PBRU00038303","Crossosoma californicum",1875
"6462","PBRU00013506","Xyris difformis",2021
"7480","PBRU00066730","Lindsaea nervosa",NA
"9801","PBRU00075495","Valeriana officinalis",2019
"9940","PBRU00025308","Nephrolepis exaltata",1874
"14615","PBRU00071780","Gelsemium sempervirens",2018
"23104","PBRU00040143","Cyrilla racemiflora",1877
"23384","PBRU00055711","Phacelia tanacetifolia",2010
"26100","PBRU00067821","Ceratophyllum demersum",1970
"30594","PBRU00064307","Suriana maritima",NA
"33071","PBRU00013506","Glyceria borealis",1942
"41613","PBRU00064538","Anemia adiantifolia",1938
"43045","PBRU00050298","Linnaea borealis",2015
"45445","PBRU00073743","Loxsoma cunninghamii",NA
"45817","PBRU00077056","Onoclea sensibilis",2021
"46179","PBRU00039368","Batis maritima",NA
"46881","PBRU00047866","Hydrolea ovata",1872
"48243","PBRU00047499","Sphenoclea zeylanica",NA
"48733","PBRU00041911","Frankenia jamesii",1950
"55320","PBRU00018157","Floerkea proserpinacoides",1903
"58126","PBRU00072739","Didymochlaena lunulata",1898
"58844","PBRU00047088","Portulacaria pygmaea",2014
"63945","PBRU00078736","Diervilla lonicera",2020
"64065","PBRU00045505","Sarcobatus baileyi",1936
"64821","PBRU00070337","Scheuchzeria palustris",2018
"68218","PBRU00042163","Cordia globosa",1874
"72607","PBRU00059341","Mayaca aubletii",1987
"75224","PBRU00040069","Simmondsia",1852
"76228","PBRU00047563","Polypremum procumbens",1877
"76822","PBRU00021776","Butomus umbellatus",1937
"77154","PBRU00070255","Ximenia americana",1876
"78937","PBRU00025352","Tectaria fimbriata",1876
"79171","PBRU00037521","Pilostyles thurberi",NA
"80423","PBRU00015334","Cephalotus follicularis",NA
